Row.names	Apap_The_002_1	Apap_The_002_2	Apap_The_002_3	Apap_The_024_1	Apap_The_024_2	Apap_The_024_3	Apap_Tox_002_2	Apap_Tox_002_3	Apap_Tox_024_1	Apap_Tox_024_2	Con_DMSO_002_1	Con_DMSO_002_2	Con_DMSO_002_3	Con_DMSO_024_1	Con_DMSO_024_2	Con_DMSO_024_3
ENSG00000145741	7240	12431	5605	7423	7096	4807	10188	5995	4858	4884	9892	9022	5705	9148	13694	8997
ENSG00000145743	324	387	86	191	397	31	105	214	307	60	205	16	635	1	38	0
ENSG00000145757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145777	92	345	73	126	251	57	42	11	49	236	360	6	562	0	0	362
ENSG00000145779	36	139	59.09	67	302	129	156	57	149	153	339	2060	2	237	315	469
ENSG00000145780	822	1004	679	517	663	150	306	422	299	1404	1016	823	535	1248	1447	2568
ENSG00000145781	92	180	26	131	47	6	255	161	68	122	150	101	0	71	560	15
ENSG00000145782	1132	1534.53	395.01	858.66	896.81	581.49	1098	958	805.29	1163	796	1245	838	640	2024	1807
ENSG00000145794	0	1	0	3	1	0	5	0	0	0	0	0	0	0	0	0
ENSG00000145808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145817	202	762.17	537.95	671.02	830	104	587	699.46	255.98	326	341.09	21	0	466	81	247
ENSG00000145819	404	328	210	693.99	584.25	244	409	547	210	487.52	536	243	816	422	667	567
ENSG00000145824	0	0	0	4.41	5.37	0	1.64	2.04	0	0	0	0	0	1.62	0	0
ENSG00000145826	304	129	87	95	279	154	149	197	0	115	300	34	0	8	3	1349
ENSG00000145832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145833	352	270	201	293	170	188.86	203	252	106	106.13	308	956	788	590	888	526
ENSG00000145835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145850	0	83	2	0	60	0	0	0	0	0	0	0	0	0	0	323
ENSG00000145860	133	93	165	167	195	108	279	316	162	123	198	10	0	28	0	159
ENSG00000145861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145864	0	0	0	32	0	0	0	0	0	0	0	167	0	0	0	0
ENSG00000145868	391	602	128	215.99	408	281	421	713	427	146	746	199	1	1078	739	1443
ENSG00000145879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145882	0	201	36	27	56	0	128	309	149	62	0	0	1	0	1	0
ENSG00000145888	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
ENSG00000145901	3904	4259	2522	4660	4143	3447	3357	2445	2288	3250	3180	4701	1502	3020	5555	3963
ENSG00000145907	2506	3559	1258	2322	2319	968	2543	1994	2434	1970	2615	1253	871	2797	5884	4267
ENSG00000145908	0	1	0	0	0	0	0	6	0	0	0	0	0	97	0	0
ENSG00000145911	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145912	939.17	2789.41	1823.91	1390.25	1494.22	1068.69	1233.41	1436	973.81	1193.03	1225	1097.46	0	781.52	1022.67	1845
ENSG00000145916	86.83	519.59	67.09	402.75	612.78	248.31	230.59	51	70.19	233.97	52	207.54	680	483.48	540.33	0
ENSG00000145919	295	313	128	301	288	221	113	230	95	204	455	107	299	368	1189	2
ENSG00000145920	0	0	0	0	57	0	0	0	0	0	0	0	0	5	0	0
ENSG00000145934	225	545	107	342	586	48	507	48	290	155	458	560	1	0	53	366
ENSG00000145936	0	27.31	0	0	1	0	0.83	0	0	0	0	0	0	0	0	0
ENSG00000145945	144	359	29	71	139	18	83	16	235	138	50	11	0	218	283	18
ENSG00000145949	1	1	1	9	0	0	0	44	80	0	14	0	0	0	0	0
ENSG00000145975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000145979	109	146	68	165	202	59	169	52	0	105	1	94	0	6	567	0
ENSG00000145982	255	389	159	138	138	444	291	184	65	135	109	93	1	0	3	0
ENSG00000145990	43	199.06	344.16	213	379.03	235	103	233	274	176	287	245	1382.08	5	1157	527
ENSG00000145996	6	328	194	173.39	70.35	40.93	209	72.82	97	168	594	168	1	289	559	1
ENSG00000146001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000146005	113	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000146006	0	0	0	8	0	0	0	6	0	0	0	0	0	0	0	0
ENSG00000146007	207	783	184	219	166	77	737	387	586	701	376	394	2	466	1641	346
