miRTarBase_ID	miRNA	Species_miRNA	Target_Gene	Target_Gene_Entrez_ID	Species_Target_Gene	Experiments	Support_Type	References_PMID
MIRT002979	rno-miR-26a-5p	Rattus_norvegicus	Map2	25595	Rattus_norvegicus	Western_blot	Functional_MTI	17592044
MIRT003241	rno-miR-138-5p	Rattus_norvegicus	Lypla1	25514	Rattus_norvegicus	Luciferase_reporter_assay-qRT_PCR-Western_blot	Functional_MTI	20064393
MIRT003485	rno-miR-29a-3p	Rattus_norvegicus	Pmp22	24660	Rattus_norvegicus	Luciferase_reporter_assay-qRT_PCR-Western_blot	Functional_MTI	19170179
MIRT003488	rno-miR-30c-5p	Rattus_norvegicus	Ctgf	64032	Rattus_norvegicus	Luciferase_reporter_assay-Western_blot	Functional_MTI	19096030
MIRT003489	rno-miR-133b-3p	Rattus_norvegicus	Ctgf	64032	Rattus_norvegicus	Luciferase_reporter_assay-Western_blot	Functional_MTI	19096030
MIRT003559	rno-miR-1-3p	Rattus_norvegicus	Igf1	24482	Rattus_norvegicus	Luciferase_reporter_assay-qRT_PCR	Functional_MTI	19245789
MIRT003559	rno-miR-1-3p	Rattus_norvegicus	Igf1	24482	Rattus_norvegicus	ELISA	Functional_MTI_Weak	18801338
MIRT003683	rno-miR-134-5p	Rattus_norvegicus	Pum2	298874	Rattus_norvegicus	Luciferase_reporter_assay	Functional_MTI	19197241
MIRT003691	rno-miR-21-5p	Rattus_norvegicus	Pten	50557	Rattus_norvegicus	Western_blot	Functional_MTI	19167416
MIRT003691	rno-miR-21-5p	Rattus_norvegicus	Pten	50557	Rattus_norvegicus	Microarray-qRT_PCR-Western_blot	Functional_MTI	17478730
MIRT003691	rno-miR-21-5p	Rattus_norvegicus	Pten	50557	Rattus_norvegicus	Microarray-qRT_PCR-Western_blot	Functional_MTI	21176238
MIRT003691	rno-miR-21-5p	Rattus_norvegicus	Pten	50557	Rattus_norvegicus	Microarray-qRT_PCR-Western_blot	Functional_MTI	23812090
MIRT003691	rno-miR-21-5p	Rattus_norvegicus	Pten	50557	Rattus_norvegicus	qRT_PCR-Western_blot	Functional_MTI	25689721
MIRT003692	rno-miR-182	Rattus_norvegicus	Mitf	25094	Rattus_norvegicus	Western_blot	Functional_MTI	19167416
MIRT003693	rno-miR-96-5p	Rattus_norvegicus	Mitf	25094	Rattus_norvegicus	Western_blot	Functional_MTI	19167416
MIRT003698	rno-miR-200c-3p	Rattus_norvegicus	Zeb1	25705	Rattus_norvegicus	Western_blot	Functional_MTI	19167416
MIRT003698	rno-miR-200c-3p	Rattus_norvegicus	Zeb1	25705	Rattus_norvegicus	qRT_PCR	Functional_MTI_Weak	20705680
MIRT003699	rno-miR-200c-3p	Rattus_norvegicus	Zeb2	311071	Rattus_norvegicus	Western_blot	Functional_MTI	19167416
MIRT003699	rno-miR-200c-3p	Rattus_norvegicus	Zeb2	311071	Rattus_norvegicus	In_situ_hybridization-qRT_PCR-Western_blot	Functional_MTI	22012804
MIRT003700	rno-miR-200b-3p	Rattus_norvegicus	Zeb2	311071	Rattus_norvegicus	Western_blot	Functional_MTI	19167416
MIRT003700	rno-miR-200b-3p	Rattus_norvegicus	Zeb2	311071	Rattus_norvegicus	Western_blot	Functional_MTI	18942116
MIRT003701	rno-miR-200b-3p	Rattus_norvegicus	Zeb1	25705	Rattus_norvegicus	Western_blot	Functional_MTI	19167416
